Date,Visitor,G,Home,G,,Att.,LOG,Notes
2013-02-27,Montreal Canadiens,5,Toronto Maple Leafs,2,,"19,625",,
2013-02-28,Ottawa Senators,1,Boston Bruins,2,OT,"17,565",,
2013-02-28,Pittsburgh Penguins,1,Carolina Hurricanes,4,,"18,680",,
2013-02-28,Calgary Flames,4,Colorado Avalanche,5,,"15,197",,
2013-02-28,Edmonton Oilers,5,Dallas Stars,1,,"17,004",,
2013-02-28,Buffalo Sabres,4,Florida Panthers,3,SO,"15,672",,
2013-02-28,Toronto Maple Leafs,5,New York Islanders,4,OT,"9,222",,
2013-02-28,Tampa Bay Lightning,1,New York Rangers,4,,"17,200",,
2013-02-28,Minnesota Wild,4,Phoenix Coyotes,3,,"11,547",,
2013-02-28,Detroit Red Wings,2,San Jose Sharks,1,SO,"17,562",,
2013-02-28,Chicago Blackhawks,3,St. Louis Blues,0,,"19,533",,
2013-02-28,New Jersey Devils,1,Winnipeg Jets,3,,"15,004",,
2013-03-01,Minnesota Wild,2,Anaheim Ducks,3,,"15,264",,
2013-03-01,Columbus Blue Jackets,3,Chicago Blackhawks,4,OT,"21,828",,
2013-03-01,Edmonton Oilers,2,St. Louis Blues,4,,"19,476",,
2013-03-02,Tampa Bay Lightning,2,Boston Bruins,3,,"17,565",,
2013-03-02,New Jersey Devils,3,Buffalo Sabres,4,SO,"19,070",,
2013-03-02,Florida Panthers,2,Carolina Hurricanes,6,,"18,680",,
2013-03-02,Pittsburgh Penguins,7,Montreal Canadiens,6,OT,"21,273",,
2013-03-02,Ottawa Senators,1,Philadelphia Flyers,2,,"19,959",,
2013-03-02,Anaheim Ducks,4,Phoenix Coyotes,5,SO,"15,227",,
2013-03-02,Nashville Predators,1,San Jose Sharks,2,,"17,562",,
2013-03-02,Los Angeles Kings,2,Vancouver Canucks,5,,"18,910",,
2013-03-02,Washington Capitals,3,Winnipeg Jets,0,,"15,004",,
2013-03-03,Montreal Canadiens,4,Boston Bruins,3,,"17,565",,
2013-03-03,Colorado Avalanche,1,Columbus Blue Jackets,2,OT,"13,778",,
2013-03-03,Vancouver Canucks,2,Calgary Flames,4,,"19,289",,
2013-03-03,St. Louis Blues,1,Dallas Stars,4,,"16,663",,
2013-03-03,Chicago Blackhawks,2,Detroit Red Wings,1,SO,"20,066",,
2013-03-03,Carolina Hurricanes,3,Florida Panthers,2,,"15,978",,
2013-03-03,Edmonton Oilers,2,Minnesota Wild,4,,"18,675",,
2013-03-03,Ottawa Senators,2,New York Islanders,3,SO,"13,512",,
